application_number,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code,inventor_country_name,inventor_address_type
90010112,WILMER,CUTLER PICKERING,HALE AND DORR LLP (3RD.PTY.REQ.),3,MA,US,UNITED STATES,residence
90010114,CRANE,,CO.(OWNER),2,CT,US,,residence
90010114,PAUL,,MORICO(3RD.PTY.REQ),3,TX,US,,residence
90010114,,,6230930,1,,,,residence
90010115,PAUL,,MORICO (3RD PTY REQ.),3,TX,US,UNITED STATES,residence
90010115,CRANE MERCHANDISING,,"SYSTEMS, INC.",2,MO,US,UNITED STATES,residence
90010115,,,6328180,1,,,,residence
90010116,QUALCOMM,,INCORPORATED(OWNER),2,CA,US,,residence
90010116,PATENT,,OWNER,3,,,,residence
90010116,,,7098695,1,,,,residence
90010117,KALSEC,,INCORPORATED,2,MI,US,,residence
90010117,THOMAS,J.,KOWALSKI(3RD PTY REQ),3,NY,US,UNITED STATES,residence
90010117,,,7037543,1,,,,residence
90010118,ZILOG,,INC.,2,CA,US,,residence
90010118,ALTERA,,INC.(3RD PTY REQ.),3,CA,US,,residence
90010118,,,4670749,1,,,,residence
90010119,,,4739762,1,,,,residence
90010119,CORDIS,CORPORATION CORPORATE,CENTER(OWNER),2,FL,US,,residence
90010119,WALTER,J.,STEINKRAUS(3RD.PTY.REQ.),3,MN,US,UNITED STATES,residence
90010120,RICHARD,D.,JORDAN(3RD.PTY.REQ.),3,GA,US,UNITED STATES,residence
90010120,INTERNATIONAL,FLAVORS & FRAGRANCES,INC.(OWNER),2,NY,US,,residence
90010120,,,7087796,1,,,,residence
90010121,,,"7,244,497",1,,,,residence
90010121,OUTLAST,,"TECHNOLOGIES,INC.(OWNER)",2,CO,US,UNITED STATES,residence
90010121,BAKER DONELSON,,"BEARMAN,CALDWELL & BERKOWITZ, PC",3,DC,US,UNITED STATES,residence
90010122,KLAUCK,,WOLFGANG (OWNER),2,,DE,GERMANY,residence
90010122,,,"6,884,852",1,,,,residence
90010122,PATENT,,OWNER,3,,,,residence
90010123,,,4916635,1,,,,residence
90010123,MASSACHUSETTS,INSTITUTE OF,"CAMBRIDGE, MA, A MA CORP",2,MA,US,UNITED STATES,residence
90010123,SEAGATE,TECHNOLOGY,LLC(3RD.PTY.REQ.),3,CA,US,UNITED STATES,residence
90010124,VISTO,,CORPORATION(OWNER),2,CA,US,UNITED STATES,residence
90010124,RESEARCH,IN MOTION,LIMITED(3RD.PTY.REQ.),3,TX,US,,residence
90010124,,,6324542,1,,,,residence
90010125,RESEARCH,IN,MOTION LIMITED(3RD PTY REQ),3,TX,US,,residence
90010125,VISTO,,CORPORATION(OWNER),2,CA,US,,residence
90010125,,,5857201,1,,,,residence
90010126,,,5743616,1,,,,residence
90010126,PATENT,,OWNER,3,,,,residence
90010126,LUMINO,,"DESIGNS, INC.(OWNER)",2,NY,US,,residence
90010127,JOHN,C. STRINGHAM WORKMAN,NYDEGGER,3,UT,US,UNITED STATES,residence
90010127,,,6556916,1,,,,residence
90010127,JOHN,C. STRINGHAM WORKMAN,NYDEGGER,3,UT,US,UNITED STATES,postal
90010127,WAVETRONIX,,(OWNER),2,UT,US,UNITED STATES,residence
90010128,CAS,MEDICAL,"SYSTEMS, INC(3RD PTY REQ.)",3,CT,US,,residence
90010128,,,6615065,1,,,,residence
90010128,SOMANETICS,,CORPORATION,2,MI,US,,residence
90010129,,,6130399,1,,,,residence
90010129,"HYPERTHERM,",,INC.(OWNER),2,NH,US,,residence
90010129,PATENT,,OWNER,3,,,,residence
90010130,,,5974120,1,,,,residence
90010130,RONALD,A.,KATZ(OWNER),2,CA,US,,residence
90010130,NOVAK,DRUCE + QUIGG,LLP(3RD.PTY.REQ.),3,TX,US,,residence
90010131,JEFFREY,B.,OSTER (3RD.PTY.REQ.),3,WA,US,UNITED STATES,residence
90010131,,,"6,814,934",1,,,,residence
90010131,APPLIED,,BIOSYSTEMS INC. (OWNER),2,CA,US,UNITED STATES,residence
90010132,SYMYX,"TECHNOLOGIES,",INC. (OWNER),2,CA,US,UNITED STATES,residence
90010132,JEFFREY,B.,OSTER (3RD.PTY.REQ.),3,WA,US,UNITED STATES,residence
90010132,,,"6,468,806",1,,,,residence
90010133,PATENT,,OWNER,3,NY,US,UNITED STATES,residence
90010133,PHILLIP,A,PECORINO(OWNER),2,NY,US,UNITED STATES,residence
90010133,,,5264765,1,,,,residence
90010134,JOHN,V.,FORCIER(3RD.PTY.REQ.),3,MA,US,UNITED STATES,residence
90010134,LUMENIS,,LTD.(OWNER),2,,IL,ISRAEL,residence
90010134,,,5626631,1,,,,residence
90010135,John,V.,Forcier(3RD PTY REQ),3,MA,US,,residence
90010135,,,6174325,1,,,,residence
90010135,LUMENIS,,LTD.(OWNER),2,,IL,ISRAEL,residence
90010136,,,5405368,1,,,,residence
90010136,John,V.,Forcier(3RD PTY REQ),3,MA,US,,residence
90010136,LUMENIS,,LTD.(OWNER),2,,IL,ISRAEL,residence
90010137,,,5789051,1,,,,residence
90010137,ACE,LABEL SYSTEMS,INC.(3RD PTY REQ.),3,MN,US,,residence
90010137,FELLOWES,,INC.,2,IL,US,,residence
90010138,GENLYTE,THOMAS,"GROUP, LLC(3RD PTY REQ.)",3,KY,US,,residence
90010138,,,6838618,1,,,,residence
90010138,PROGRESS,LIGHTING,INC.,2,SC,US,,residence
90010139,WHITELIGHT,TECHNOLOGY,LLC(OWNER),2,MA,US,,residence
90010139,,,6141653,1,,,,residence
90010139,SAP,AMERICAS,INC.(3RD. PTY.REQ.),3,PA,US,,residence
90010140,DANIEL,G.,BERGER(OWNER),2,NY,US,,residence
90010140,EUIHOON,,LEE(3RD.PTY.REQ.),3,MA,US,,residence
90010140,,,6149122,1,,,,residence
90010141,,,"5,812,669",1,,,,residence
90010141,CLASSIFIELD,,"INFORMATION, INC. (OWNER)",2,CA,US,UNITED STATES,residence
90010141,WOODCOCK,,WASHBURN LLP (3RD.PTY.REQ.),3,PA,US,UNITED STATES,residence
90010142,MICHAEL,A.,"MANN, ESQ. (3RD.PTY.REQ.)",3,SC,US,UNITED STATES,residence
90010142,,,"6,755,552",1,,,,residence
90010142,"LEE,",,HUNG-WEN (OWNER),2,,TW,TAIWAN,residence
90010143,,L.,6542936,1,,,,residence
90010143,FOTOMEDIA,"TECHNOLOGIES,",LLC(OWNER),2,NH,US,UNITED STATES,residence
90010143,MICHAEL,A. HAWES,ON BEHALF OF YAHOO!INC(3RD.PTY.REQ.),3,TX,US,UNITED STATES,residence
90010144,FOTOMEDIA,"TECHNOLOGIES,",LLC(OWNER),2,NH,US,UNITED STATES,residence
90010144,,,6018774,1,,,,residence
90010144,MICHAEL,A. HAWES,ON BEHALF OF YAHOO INC.(3RD.PTY.REQ.),3,TX,US,UNITED STATES,residence
90010145,Michael,A.,Hawes(3RD PTY REQ),3,TX,US,,residence
90010145,FOTOMEDIA,,"TECHNOLOGIES, LLC(OWNER)",2,NH,US,,residence
90010145,,,6871231,1,,,,residence
90010147,,,5848398,1,,,,residence
90010147,ECAST,,INC.(3RD PTY REQ.),3,CA,US,,residence
90010147,ARACHNID,,INC.(OWNER),2,IL,US,UNITED STATES,residence
90010148,"RANKIN,",HILL,& CLARK LLP(OWNER),3,OH,US,,residence
90010148,,,7243686,1,,,,residence
90010148,BHP,BILLITON PETROLEUM,PTY. LIMITED,2,,AU,AUSTRALIA,residence
90010148,"RANKIN,",HILL,& CLARK LLP(OWNER),3,OH,US,,postal
90010149,JIRO,,TAKASHIMA(OWNER),2,TX,US,,residence
90010149,PATENT,,OWNER,3,TX,US,UNITED STATES,residence
90010149,,,5797950,1,,,,residence
90010150,PROBATTER,,"SPORTS, LLC(OWNER)",2,CT,US,UNITED STATES,residence
90010150,,J.,6182649,1,,,,residence
90010150,JOHN,C.,MCNETT(3RD.PTY.REQ.),3,IN,US,,residence
90010151,,,"6,546,924",1,,,,residence
90010151,PROBATTER,,"SPORTS, LLC(OWNER)",2,CT,US,UNITED STATES,residence
90010151,"WOODARD,","EMHARDT,MORIARTY",McNETT & HENRY LLP (3RD.PTY.REQ.),3,IN,US,UNITED STATES,residence
90010152,,,"6,969,246",1,,,,residence
90010152,BROWN,,"MACHINE, LLC. (OWNER)",2,MI,US,UNITED STATES,residence
90010152,SUGHRUE,,"MION,PPLC (3RD.PTY.REQ.)",3,DC,US,UNITED STATES,residence
90010153,ANDREW,J.,TASKA(3RD.PTY.REQ.),3,DC,US,,residence
90010153,BROWN,MACHINE,LLC(OWNER),2,MI,US,UNITED STATES,residence
90010153,,,5814185,1,,,,residence
90010154,JOHN,V,FORCIER(3RD.PTY.REQ.),3,MA,US,,residence
90010154,,,5964749,1,,,,residence
90010154,LUMENIS,,LTD.(OWNER),2,,IL,ISRAEL,residence
90010155,Harold,W.,Milton(OWNER),2,MI,US,,residence
90010155,,,5292125,1,,,,residence
90010155,Richard,D.,McLeod(3RD PTY REQ),3,OR,US,,residence
90010156,Lawrence,L.,Staples(OWNER),2,MO,US,,residence
90010156,,,5910088,1,,,,residence
90010156,Johns,,Manville Inc.(3RD PTY REQ),3,CO,US,,residence
90010157,SAMSUNG,ELECTRONICS,"CO., LTD",2,,KR,"KOREA, REPUBLIC OF",residence
90010157,CANTOR,,COLBURN LLP(OWNER),3,CT,US,UNITED STATES,postal
90010157,,,7317460,1,,,,residence
90010157,CANTOR,,COLBURN LLP(OWNER),3,CT,US,UNITED STATES,residence
90010158,,,6835723,1,,,,residence
90010158,"ANDRUS,SCEALES,",,"STARKE & SAWALL, LLP(OWNER)",3,WI,US,,residence
90010158,"ANDRUS,SCEALES,",,"STARKE & SAWALL, LLP(OWNER)",3,WI,US,,postal
90010158,WISCONSIN,ALUMNI,RESEARCH FOUNDATION,2,WI,US,,residence
90010159,,,6873823,1,,,,residence
90010159,MATTHEW,G.,MCKINNEY(3RD.PTY.REQ.),3,FL,US,,residence
90010159,DEKOLINK,WIRELESS,LTD.(OWNER),2,,IL,ISRAEL,residence
90010160,ALMA,"LASER,",INC.(3RD.PTY.REQ.),3,IL,US,,residence
90010160,,W.,5660836,1,,,,residence
90010160,"THERMAGE,",,INC.(OWNER),2,CA,US,,residence
90010161,"THERMAGE,",INC.,(OWNER),2,CA,US,UNITED STATES,residence
90010161,,,"6,387,380",1,,,,residence
90010161,HUGH,A.,ABRAMS (3RD.PTY.REQ.),3,IL,US,UNITED STATES,residence
90010162,HUGH,A.,ABRAMS (3RD.PTY.REQ.),3,IL,US,UNITED STATES,residence
90010162,,,"5,755,753",1,,,,residence
90010162,"THERMAGE,",INC.,(OWNER),2,CA,US,UNITED STATES,residence
90010163,"CHECKERBOARD,",,LTD.(OWNER),2,MA,US,,residence
90010163,PATENT,,OWNER,3,MA,US,,residence
90010163,,,6529214,1,,,,residence
90010164,QUALCOMM,,INCORPORATED(OWNER),2,CA,US,,residence
90010164,PATENT,,OWNER,3,CA,US,,residence
90010164,,Ho,7319632,1,,,,residence
90010165,ALMA,"LASERS,",INC(3RD PTY REQ),3,IL,US,,residence
90010165,,,6405090,1,,,,residence
90010165,"THERMAGE,",,INC.(OWNER),2,CA,US,,residence
90010166,ALMA,,"LASERS, INC.(3RD PTY REQ)",3,IL,US,,residence
90010166,"THERMAGE,",,INC.(OWNER),2,CA,US,,residence
90010166,,,6241753,1,,,,residence
90010167,NEXUS,MEDICAL,LLC(3RD PTY REQ.),3,KS,US,,residence
90010167,,,6213979,1,,,,residence
90010167,VENETEC,INTERNATIONAL,INC.,2,CA,US,,residence
90010168,VISTO,CORPORATION,(3RD PTY REQ.),3,CA,US,,residence
90010168,,,5889839,1,,,,residence
90010168,RESEARCH,IN MOTION,LIMITED,2,,CA,CANADA,residence
90010169,ALMA,"LASERS,",INC.(3RD.PTY.REQ.),3,IL,US,,residence
90010169,"THERMAGE,",,INC.(OWNER),2,CA,US,,residence
90010169,,,6377855,1,,,,residence
90010170,,,6381498,1,,,,residence
90010170,"SOLTA MEDICAL, INC. ( F/K/A/ THERMAGE,",,INC.)(OWNER),2,CA,US,UNITED STATES,residence
90010170,ALMA,"LASERS,",INC.(3RD.PTY.REQ.),3,IL,US,,residence
90010171,PATENT,,OWNER,3,,,,residence
90010171,,,"6,990,833",1,,,,residence
90010171,ROBBINS,,BROS.CORPORATION (OWNER),2,CA,US,UNITED STATES,residence
90010172,PATENT,,OWNER,3,,,,residence
90010172,TEXAS,INSTRUMENTS,INCORPORATED (OWNER),2,TX,US,UNITED STATES,residence
90010172,,,"5,642,001",1,,,,residence
90010173,SAP,"AMERICAS,",INC.(3RD.PTY.REQ.),3,PA,US,,residence
90010173,VERSATA,"DEVELOPMENT GROUP,",INC.(OWNER),2,TX,US,UNITED STATES,residence
90010173,,,6002854,1,,,,residence
90010174,,,5708798,1,,,,residence
90010174,SAP,"AMERICAS,",INC.(3RD.PTY.REQ.),3,PA,US,,residence
90010174,VERSATA,"DEVELOPMENT GROUP,",INC.(OWNER),2,TX,US,,residence
90010175,Scott,K.,Witonsky(3RD PTY REQ),3,MA,US,UNITED STATES,residence
90010175,,,5843073,1,,,,residence
90010175,"CARDIOFOCUS,",,INC(OWNER),2,MA,US,,residence
90010176,"CARDIOFOCUS,",,INC.(OWNER),2,MA,US,,residence
90010176,,,6159203,1,,,,residence
90010176,Scott,K.,Witonsky(3RD PTY REQ),3,MA,US,,residence
90010177,SCOTT,,WITONSKY,3,MA,US,,residence
90010177,CARIOFOCUS,,INC.,2,MA,US,,residence
90010177,,,6547780,1,,,,residence
90010178,THE,PROCTER & GAMBLE,COMPANY,2,OH,US,,residence
90010178,KAREN,S.,CANADY,3,CA,US,UNITED STATES,residence
90010178,,,6093748,1,,,,residence
90010179,PATENT,,OWNER,3,NY,US,,postal
90010179,PATENT,,OWNER,3,NY,US,UNITED STATES,residence
90010179,,,6562073,1,,,,residence
90010179,"WARSAW ORTHOPEDIC,",,INC.(OWNER),2,IN,US,UNITED STATES,residence
90010180,POLYFORM,A.G.P.,INC.(OWNER),2,,CA,CANADA,residence
90010180,,,6401419,1,,,,residence
90010180,PATENT,,OWNER,3,,CA,CANADA,residence
90010181,,,"D545,266",1,,,,residence
90010181,BRIDGESTONE,,CORPORATION (OWNER),2,,JP,JAPAN,residence
90010181,PATENT,,OWNER,3,,,,residence
90010182,KENYON,&,KENYON LLP (3RD.PTY.REQ.),3,NY,US,UNITED STATES,residence
90010182,MHL,"TEK,",LLC (OWNER),2,MI,US,UNITED STATES,residence
90010182,,,"5,731,516",1,,,,residence
90010183,,,5741966,1,,,,residence
90010183,MHL,"TEK,",LLC(OWNER),2,MI,US,,residence
90010183,VOLKSWAGEN,,AG(3RD.PTY.REQ.),3,,,,residence
90010184,,,5663496,1,,,,residence
90010184,MHL,"TEK,",LLC(OWNER),2,MI,US,UNITED STATES,residence
90010184,VOLKSWAGEN,,AG(3RD.PTY.REQ.),3,,,,residence
90010185,ORION,,"IP, LLC(OWNER)",2,CA,US,,residence
90010185,,,5367627,1,,,,residence
90010185,Ying,,Chen(3RD PTY REQ),3,CA,US,,residence
90010186,WAKE,FOREST UNIVERSITY,HEALTH SCIENCES(OWNER),2,NC,US,,residence
90010186,,,5645081,1,,,,residence
90010186,Sabing,H.,Lee(3RD PTY REQ),3,CA,US,,residence
90010187,WAKE,FOREST UNIVERSITY,HEALTH SCIENCES,2,NC,US,,residence
90010187,,,5636643,1,,,,residence
90010187,SABING,L.,LEE(3RD PTY REQ.),3,CA,US,,residence
90010188,DANIEL,"R. McCLURE THOMAS, KAYDEN,",HORSTEMEYER & RISLEY(OWNER),3,GA,US,,residence
90010188,ASIA,OPTICAL,"CO., INC",2,,TW,TAIWAN,residence
90010188,,,7315015,1,,,,residence
90010189,ROSE,,ELECTRONICS(3RD.PTY.REQ.),3,TX,US,,residence
90010189,,,6345323,1,,,,residence
90010189,AVOCENT,REDMOND,CORP.(OWNER),2,WA,US,,residence
90010190,PATENT,,OWNER,3,,KR,"KOREA, REPUBLIC OF",residence
90010190,LG,ELECTRONICS,INC.(OWNER),2,,KR,"KOREA, REPUBLIC OF",residence
90010190,,,6239551,1,,,,residence
90010191,,,"7,328,188",1,,,,residence
90010191,TOWNSEND,AND TOWNSEND,AND CREW. LLP (3RD.PTY.REQ.),3,CA,US,UNITED STATES,residence
90010191,MAINLINE,CORPORATE,HOLDING LIMITED (OWNER),2,,IE,IRELAND,residence
90010193,SRAM,,CORPORATION(OWNER),2,IL,US,,residence
90010193,DAVID,L.,TAMOFF(3RD.PTY.REQ.),3,DC,US,UNITED STATES,residence
90010193,,,6105988,1,,,,residence
90010194,"CARDIOFOCUS,",,INC(OWNER),2,MA,US,UNITED STATES,residence
90010194,MARC,M.,WEFERS(3RD.PTY.REQ.),3,MA,US,UNITED STATES,residence
90010194,,,5843073,1,,,,residence
90010195,J2,GLOBAL,"COMMUNICATIONS, INC.(OWNER)",2,CA,US,,residence
90010195,,,6564321,1,,,,residence
90010195,PROTUS,IP,"SOLUTIONS, INC.(3RD PTY REQ)",3,,CA,CANADA,residence
90010196,,,5843073,1,,,,residence
90010196,"PEARL,","COHEN, ZEDEK","LATZER, LLP(3RD PTY REQ)",3,NY,US,,residence
90010196,"CARDIOFOCUS,",,INC.(OWNER),2,MA,US,,residence
90010197,,,6159203,1,,,,residence
90010197,PEARL,COHEN,ZEDEK LATZER LLP,3,NY,US,UNITED STATES,residence
90010197,CARDIOFOCUS,,INC.,2,MA,US,,residence
90010198,PEARL,COHEN,ZEDEK LATZER LLP,3,NY,US,,residence
90010198,,,6547780,1,,,,residence
90010198,"CARDIOFOCUS,",,INC.,2,MA,US,,residence
90010200,ELOIT,S,GERBER(OWNER),2,NY,US,UNITED STATES,residence
90010200,,,5877969,1,,,,residence
90010200,AFFILIATED,"COMPUTER SERVICES,",INC.(3RD.PTY.REQ.),3,TX,US,,residence
90010201,BLAKELY,SOKOLOFF,TAYLOR & ZAFMAN LLP (3RD.PTY.REQ.),3,CA,US,UNITED STATES,residence
90010201,ACCENTURE,,LLP (OWNER),2,CA,US,UNITED STATES,residence
90010201,,,"7,013,284",1,,,,residence
90010202,PATENT,,OWNER,3,,,,residence
90010202,,,"6,659,074",1,,,,residence
90010202,GM GLOBAL TECHNOLOGY,,"OPERATIONS, INC( OWNER )",2,MI,US,UNITED STATES,residence
90010204,T-MOBILE,,USA(3RD.PRT.REQ.),3,WA,US,,residence
90010204,GREENVILLE,"COMMUNICATIONS,",LLC(OWNER),2,MS,US,,residence
90010204,,,5428670,1,,,,residence
90010205,Richard,D.,McLeod(3RD PTY REQ),3,OR,US,UNITED STATES,residence
90010205,,,7054818,1,,,,residence
90010205,"V-ENABLE,",,INC.(OWNER),2,CA,US,UNITED STATES,residence
90010206,,,5321740,1,,,,residence
90010206,T-MOBILE,,USA(3RD PTY REQ),3,WA,US,,residence
90010206,GREENVILLE,,COMMUNICATIONS(OWNER),2,MS,US,,residence
90010207,,,7314328,1,,,,residence
90010207,"MACK-RAY,",,INC.(OWNER),2,AR,US,UNITED STATES,residence
90010208,MACK-RAY,,INC.(OWNER),2,AR,US,,residence
90010208,,,7325994,1,,,,residence
90010209,ISIS,"PHARMACEUTICALS,",INC.(OWNER),2,CA,US,,residence
90010209,,,7217510,1,,,,residence
90010209,REYNALDO,"BARCELO, BARCELO &","HARRISON, LLP(3RD.PTY.REQ.)",3,CA,US,,residence
90010210,,,7108974,1,,,,residence
90010210,REYNALDO,"BARCELO, BARCELO &","HARRISON, LLP(3RD.PTY.REQ.)",3,CA,US,,residence
90010210,ISIS,"PHARMACEUTICALS,",INC.(OWNER),2,CA,US,,residence
90010211,,,"7,247,150",1,,,,residence
90010211,HOVEY,,WILLIAMS LLP (3RD.PTY.REQ.),3,KS,US,UNITED STATES,residence
90010211,VENETEC,,"INTERNATIONAL, INC. (OWNER)",2,CA,US,UNITED STATES,residence
90010212,DARIUSH,G.,ADLI (3RD.PTY.REQ.),3,CA,US,UNITED STATES,residence
90010212,CUMMINS-ALLISON,,CORP.(OWNER),2,IL,US,UNITED STATES,residence
90010212,,,"5,966,456",1,,,,residence
90010213,OLYMPUS,WINTER & IBE,GMBH(OWNER),2,,DE,GERMANY,residence
90010213,PATENT,,OWNER,3,,,,residence
90010213,,,6217511,1,,,,residence
90010214,SEMICONDUCTOR,ENERGY LABORATORY,"CO.,LTD(OWNER)",2,,JP,JAPAN,residence
90010214,,,6900462,1,,,,residence
90010214,PATENT,,OWNER,3,,,,residence
90010215,,,5817779,1,,,,residence
90010215,HUNTSMAN,,INTERNATIONAL LLC(OWNER),2,TX,US,,residence
90010215,Patent,,Owner,3,,,,residence
90010216,David,P.,Emery(3RD PTY REQ),3,DC,US,,residence
90010216,,,5966874,1,,,,residence
90010216,MAGNA DONNELLY,,CORP.(OWNER),2,MI,US,UNITED STATES,residence
90010217,,,6381354,1,,,,residence
90010217,CUMMINS-ALLISON,,CORPORATION,2,IL,US,,residence
90010217,AMRO-ASIAN,TRADE,INC.(3RD PTY REQ.),3,HI,US,,residence
90010218,,,6084517,1,,,,residence
90010218,MRSI,"INTERNATIONAL,",INC.,2,UT,US,,residence
90010218,CHRISTINE,JOHNSON,ESQ.(3RD PTY REQ.),3,PA,US,,residence
90010219,D.,"GLENN VICARI,",ABB LUMMUS GLOBAL(OWNER),2,NJ,US,,residence
90010219,,,6827138,1,,,,residence
90010219,KOCH,"HEAT TRANSFER COMOANY,",LP(3RD.PTY.REQ.),3,TX,US,,residence
